onset	duration	sample	value	event_onset	event_type
0	0.00048828125	0	Start meditation audio	1	Start meditation audio
3.034667969	0.00048828125	776.875	Right trigger released	777.875	Right trigger released
3.047851562	0.00048828125	780.25	Left trigger released	781.25	Left trigger released
57.26074219	0.00048828125	14658.75	Alt	14659.75	Alt
57.26464844	0.00048828125	14659.75	Alt	14660.75	Alt
57.26855469	0.00048828125	14660.75	Alt	14661.75	Alt
57.27246094	0.00048828125	14661.75	Alt	14662.75	Alt
57.27636719	0.00048828125	14662.75	Alt	14663.75	Alt
57.28027344	0.00048828125	14663.75	Alt	14664.75	Alt
57.28417969	0.00048828125	14664.75	Alt	14665.75	Alt
57.28808594	0.00048828125	14665.75	Alt	14666.75	Alt
57.29199219	0.00048828125	14666.75	Alt	14667.75	Alt
57.29589844	0.00048828125	14667.75	Alt	14668.75	Alt
57.29980469	0.00048828125	14668.75	Alt	14669.75	Alt
57.30371094	0.00048828125	14669.75	Alt	14670.75	Alt
57.30761719	0.00048828125	14670.75	Alt	14671.75	Alt
57.31152344	0.00048828125	14671.75	Alt	14672.75	Alt
57.31542969	0.00048828125	14672.75	Alt	14673.75	Alt
57.31933594	0.00048828125	14673.75	Alt	14674.75	Alt
57.32324219	0.00048828125	14674.75	Alt	14675.75	Alt
57.32714844	0.00048828125	14675.75	Alt	14676.75	Alt
57.33105469	0.00048828125	14676.75	Alt	14677.75	Alt
57.33496094	0.00048828125	14677.75	Alt	14678.75	Alt
57.33886719	0.00048828125	14678.75	Alt	14679.75	Alt
57.34277344	0.00048828125	14679.75	Alt	14680.75	Alt
57.34716797	0.00048828125	14680.875	Alt	14681.875	Alt
57.35107422	0.00048828125	14681.875	Alt	14682.875	Alt
57.35498047	0.00048828125	14682.875	Alt	14683.875	Alt
57.35888672	0.00048828125	14683.875	Alt	14684.875	Alt
57.36279297	0.00048828125	14684.875	Alt	14685.875	Alt
57.36669922	0.00048828125	14685.875	Alt	14686.875	Alt
57.37060547	0.00048828125	14686.875	Alt	14687.875	Alt
57.37451172	0.00048828125	14687.875	Alt	14688.875	Alt
57.37841797	0.00048828125	14688.875	Alt	14689.875	Alt
57.38232422	0.00048828125	14689.875	Alt	14690.875	Alt
57.38623047	0.00048828125	14690.875	Alt	14691.875	Alt
57.39013672	0.00048828125	14691.875	Alt	14692.875	Alt
57.39404297	0.00048828125	14692.875	Alt	14693.875	Alt
57.39794922	0.00048828125	14693.875	Alt	14694.875	Alt
57.40185547	0.00048828125	14694.875	Alt	14695.875	Alt
57.40576172	0.00048828125	14695.875	Alt	14696.875	Alt
57.40966797	0.00048828125	14696.875	Alt	14697.875	Alt
57.41357422	0.00048828125	14697.875	Alt	14698.875	Alt
57.41748047	0.00048828125	14698.875	Alt	14699.875	Alt
57.42138672	0.00048828125	14699.875	Alt	14700.875	Alt
57.42529297	0.00048828125	14700.875	Alt	14701.875	Alt
57.42919922	0.00048828125	14701.875	Alt	14702.875	Alt
57.43310547	0.00048828125	14702.875	Alt	14703.875	Alt
57.43847656	0.00048828125	14704.25	Tab	14705.25	Tab
57.43847656	0.00048828125	14704.25	Alt	14705.25	Alt
57.44921875	0.00048828125	14707	Tab	14708	Tab
57.44921875	0.00048828125	14707	Alt	14708	Alt
57.453125	0.00048828125	14708	Tab	14709	Tab
57.453125	0.00048828125	14708	Alt	14709	Alt
57.45703125	0.00048828125	14709	Tab	14710	Tab
57.45703125	0.00048828125	14709	Alt	14710	Alt
57.4609375	0.00048828125	14710	Tab	14711	Tab
57.4609375	0.00048828125	14710	Alt	14711	Alt
57.46484375	0.00048828125	14711	Tab	14712	Tab
57.46484375	0.00048828125	14711	Alt	14712	Alt
57.46875	0.00048828125	14712	Tab	14713	Tab
57.46875	0.00048828125	14712	Alt	14713	Alt
57.47265625	0.00048828125	14713	Tab	14714	Tab
57.47265625	0.00048828125	14713	Alt	14714	Alt
57.4765625	0.00048828125	14714	Tab	14715	Tab
57.4765625	0.00048828125	14714	Alt	14715	Alt
57.48046875	0.00048828125	14715	Tab	14716	Tab
57.48046875	0.00048828125	14715	Alt	14716	Alt
57.484375	0.00048828125	14716	Tab	14717	Tab
57.484375	0.00048828125	14716	Alt	14717	Alt
57.48828125	0.00048828125	14717	Tab	14718	Tab
57.48828125	0.00048828125	14717	Alt	14718	Alt
57.4921875	0.00048828125	14718	Tab	14719	Tab
57.4921875	0.00048828125	14718	Alt	14719	Alt
57.49609375	0.00048828125	14719	Tab	14720	Tab
57.49609375	0.00048828125	14719	Alt	14720	Alt
57.5	0.00048828125	14720	Tab	14721	Tab
57.5	0.00048828125	14720	Alt	14721	Alt
57.50390625	0.00048828125	14721	Tab	14722	Tab
57.50390625	0.00048828125	14721	Alt	14722	Alt
57.5078125	0.00048828125	14722	Tab	14723	Tab
57.5078125	0.00048828125	14722	Alt	14723	Alt
57.51171875	0.00048828125	14723	Tab	14724	Tab
57.51171875	0.00048828125	14723	Alt	14724	Alt
57.515625	0.00048828125	14724	Tab	14725	Tab
57.515625	0.00048828125	14724	Alt	14725	Alt
57.51953125	0.00048828125	14725	Tab	14726	Tab
57.51953125	0.00048828125	14725	Alt	14726	Alt
57.5234375	0.00048828125	14726	Tab	14727	Tab
57.5234375	0.00048828125	14726	Alt	14727	Alt
57.52734375	0.00048828125	14727	Tab	14728	Tab
57.52734375	0.00048828125	14727	Alt	14728	Alt
57.53125	0.00048828125	14728	Alt	14729	Alt
57.53515625	0.00048828125	14729	Alt	14730	Alt
57.5390625	0.00048828125	14730	Alt	14731	Alt
57.54296875	0.00048828125	14731	Alt	14732	Alt
57.546875	0.00048828125	14732	Alt	14733	Alt
57.55078125	0.00048828125	14733	Alt	14734	Alt
57.55615234	0.00048828125	14734.375	Alt	14735.375	Alt
57.56005859	0.00048828125	14735.375	Alt	14736.375	Alt
57.56396484	0.00048828125	14736.375	Alt	14737.375	Alt
57.56787109	0.00048828125	14737.375	Alt	14738.375	Alt
57.57177734	0.00048828125	14738.375	Alt	14739.375	Alt
57.57568359	0.00048828125	14739.375	Alt	14740.375	Alt
57.57958984	0.00048828125	14740.375	Alt	14741.375	Alt
57.58349609	0.00048828125	14741.375	Alt	14742.375	Alt
57.58740234	0.00048828125	14742.375	Alt	14743.375	Alt
57.59130859	0.00048828125	14743.375	Alt	14744.375	Alt
57.59521484	0.00048828125	14744.375	Alt	14745.375	Alt
57.59960938	0.00048828125	14745.5	Alt	14746.5	Alt
57.60351562	0.00048828125	14746.5	Alt	14747.5	Alt
57.60742188	0.00048828125	14747.5	Alt	14748.5	Alt
57.61132812	0.00048828125	14748.5	Alt	14749.5	Alt
57.61523438	0.00048828125	14749.5	Alt	14750.5	Alt
57.61962891	0.00048828125	14750.625	Alt	14751.625	Alt
57.62353516	0.00048828125	14751.625	Alt	14752.625	Alt
57.62744141	0.00048828125	14752.625	Alt	14753.625	Alt
57.63134766	0.00048828125	14753.625	Alt	14754.625	Alt
57.63525391	0.00048828125	14754.625	Alt	14755.625	Alt
57.63916016	0.00048828125	14755.625	Alt	14756.625	Alt
57.64306641	0.00048828125	14756.625	Alt	14757.625	Alt
57.64697266	0.00048828125	14757.625	Alt	14758.625	Alt
57.65087891	0.00048828125	14758.625	Alt	14759.625	Alt
57.65478516	0.00048828125	14759.625	Alt	14760.625	Alt
57.65869141	0.00048828125	14760.625	Alt	14761.625	Alt
57.66259766	0.00048828125	14761.625	Alt	14762.625	Alt
57.66699219	0.00048828125	14762.75	Alt	14763.75	Alt
57.67089844	0.00048828125	14763.75	Alt	14764.75	Alt
57.67480469	0.00048828125	14764.75	Alt	14765.75	Alt
57.67871094	0.00048828125	14765.75	Alt	14766.75	Alt
57.68261719	0.00048828125	14766.75	Alt	14767.75	Alt
57.68652344	0.00048828125	14767.75	Alt	14768.75	Alt
57.69042969	0.00048828125	14768.75	Alt	14769.75	Alt
57.69482422	0.00048828125	14769.875	Alt	14770.875	Alt
57.69873047	0.00048828125	14770.875	Alt	14771.875	Alt
57.70263672	0.00048828125	14771.875	Alt	14772.875	Alt
57.70654297	0.00048828125	14772.875	Alt	14773.875	Alt
57.71044922	0.00048828125	14773.875	Alt	14774.875	Alt
57.71435547	0.00048828125	14774.875	Alt	14775.875	Alt
57.71826172	0.00048828125	14775.875	Alt	14776.875	Alt
57.72216797	0.00048828125	14776.875	Alt	14777.875	Alt
57.72607422	0.00048828125	14777.875	Alt	14778.875	Alt
57.72998047	0.00048828125	14778.875	Alt	14779.875	Alt
57.73388672	0.00048828125	14779.875	Alt	14780.875	Alt
57.73779297	0.00048828125	14780.875	Alt	14781.875	Alt
