onset	duration	sample	value	event_onset	event_type
0	0	0	ivan_talks_01	1	ivan_talks_01
9.998046875	n/a	2559.5	boundary	2560.5	boundary
10	0	2560	ivan_talks_02	2561	ivan_talks_02
27.99804688	n/a	7167.5	boundary	7168.5	boundary
28	0	7168	ivan_talks_03	7169	ivan_talks_03
54.99804688	n/a	14079.5	boundary	14080.5	boundary
55	0	14080	ivan_talks_04	14081	ivan_talks_04
74.99804688	n/a	19199.5	boundary	19200.5	boundary
75	0	19200	ivan_talks_05	19201	ivan_talks_05
100.9980469	n/a	25855.5	boundary	25856.5	boundary
101	0	25856	ivan_talks_06	25857	ivan_talks_06
128.9980469	n/a	33023.5	boundary	33024.5	boundary
129	0	33024	ivan_talks_07	33025	ivan_talks_07
