onset	duration	sample	value	event_onset	event_type
0	0.00048828125	0	Start second meditation audio	1	Start second meditation audio
4.872070312	0.00048828125	1247.25	Right trigger released	1248.25	Right trigger released
4.896972656	0.00048828125	1253.625	Left trigger released	1254.625	Left trigger released
102.9946289	0.00048828125	26366.625	Right trigger pressed	26367.625	Right trigger pressed
103.8110352	0.00048828125	26575.625	Right trigger released	26576.625	Right trigger released
104.1000977	0.00048828125	26649.625	Left trigger pressed	26650.625	Left trigger pressed
104.1240234	0.00048828125	26655.75	Right trigger pressed	26656.75	Right trigger pressed
104.5327148	0.00048828125	26760.375	Left trigger released	26761.375	Left trigger released
104.6044922	0.00048828125	26778.75	Right trigger released	26779.75	Right trigger released
105.0961914	0.00048828125	26904.625	Right trigger pressed	26905.625	Right trigger pressed
105.6142578	0.00048828125	27037.25	Right trigger released	27038.25	Right trigger released
126.8623047	0.00048828125	32476.75	M	32477.75	M
126.8662109	0.00048828125	32477.75	M	32478.75	M
126.8701172	0.00048828125	32478.75	M	32479.75	M
126.8740234	0.00048828125	32479.75	M	32480.75	M
126.8779297	0.00048828125	32480.75	M	32481.75	M
126.8818359	0.00048828125	32481.75	M	32482.75	M
126.8857422	0.00048828125	32482.75	M	32483.75	M
126.8896484	0.00048828125	32483.75	M	32484.75	M
126.8935547	0.00048828125	32484.75	M	32485.75	M
126.8974609	0.00048828125	32485.75	M	32486.75	M
126.9013672	0.00048828125	32486.75	M	32487.75	M
126.9052734	0.00048828125	32487.75	M	32488.75	M
126.9091797	0.00048828125	32488.75	M	32489.75	M
126.9130859	0.00048828125	32489.75	M	32490.75	M
126.9169922	0.00048828125	32490.75	M	32491.75	M
126.9208984	0.00048828125	32491.75	M	32492.75	M
126.9248047	0.00048828125	32492.75	M	32493.75	M
126.9287109	0.00048828125	32493.75	M	32494.75	M
126.9326172	0.00048828125	32494.75	M	32495.75	M
126.9365234	0.00048828125	32495.75	M	32496.75	M
126.9404297	0.00048828125	32496.75	M	32497.75	M
126.9443359	0.00048828125	32497.75	M	32498.75	M
126.9482422	0.00048828125	32498.75	M	32499.75	M
126.9521484	0.00048828125	32499.75	M	32500.75	M
126.9560547	0.00048828125	32500.75	M	32501.75	M
126.9599609	0.00048828125	32501.75	M	32502.75	M
126.9638672	0.00048828125	32502.75	M	32503.75	M
126.9677734	0.00048828125	32503.75	M	32504.75	M
126.9716797	0.00048828125	32504.75	M	32505.75	M
376.6469727	0.00048828125	96421.625	O	96422.625	O
376.6508789	0.00048828125	96422.625	O	96423.625	O
376.6547852	0.00048828125	96423.625	O	96424.625	O
376.6586914	0.00048828125	96424.625	O	96425.625	O
376.6625977	0.00048828125	96425.625	O	96426.625	O
376.6665039	0.00048828125	96426.625	O	96427.625	O
376.6704102	0.00048828125	96427.625	O	96428.625	O
376.6743164	0.00048828125	96428.625	O	96429.625	O
376.6782227	0.00048828125	96429.625	O	96430.625	O
376.6821289	0.00048828125	96430.625	O	96431.625	O
376.6860352	0.00048828125	96431.625	O	96432.625	O
376.6899414	0.00048828125	96432.625	O	96433.625	O
376.6938477	0.00048828125	96433.625	O	96434.625	O
376.6977539	0.00048828125	96434.625	O	96435.625	O
376.7016602	0.00048828125	96435.625	O	96436.625	O
376.7055664	0.00048828125	96436.625	O	96437.625	O
376.7094727	0.00048828125	96437.625	O	96438.625	O
376.7133789	0.00048828125	96438.625	O	96439.625	O
376.7172852	0.00048828125	96439.625	O	96440.625	O
376.7211914	0.00048828125	96440.625	O	96441.625	O
376.7250977	0.00048828125	96441.625	O	96442.625	O
376.7290039	0.00048828125	96442.625	O	96443.625	O
376.7329102	0.00048828125	96443.625	O	96444.625	O
376.7368164	0.00048828125	96444.625	O	96445.625	O
376.7407227	0.00048828125	96445.625	O	96446.625	O
376.7446289	0.00048828125	96446.625	O	96447.625	O
376.7485352	0.00048828125	96447.625	O	96448.625	O
376.7524414	0.00048828125	96448.625	O	96449.625	O
376.7563477	0.00048828125	96449.625	O	96450.625	O
376.7602539	0.00048828125	96450.625	O	96451.625	O
376.7641602	0.00048828125	96451.625	O	96452.625	O
376.7680664	0.00048828125	96452.625	O	96453.625	O
376.7719727	0.00048828125	96453.625	O	96454.625	O
376.7758789	0.00048828125	96454.625	O	96455.625	O
376.7797852	0.00048828125	96455.625	O	96456.625	O
376.7836914	0.00048828125	96456.625	O	96457.625	O
376.7875977	0.00048828125	96457.625	O	96458.625	O
376.7915039	0.00048828125	96458.625	O	96459.625	O
376.7954102	0.00048828125	96459.625	O	96460.625	O
376.8071289	0.00048828125	96462.625	O	96463.625	O
376.8110352	0.00048828125	96463.625	O	96464.625	O
376.8149414	0.00048828125	96464.625	O	96465.625	O
376.8188477	0.00048828125	96465.625	O	96466.625	O
376.8227539	0.00048828125	96466.625	O	96467.625	O
376.8266602	0.00048828125	96467.625	O	96468.625	O
376.8305664	0.00048828125	96468.625	O	96469.625	O
376.8344727	0.00048828125	96469.625	O	96470.625	O
376.8383789	0.00048828125	96470.625	O	96471.625	O
376.8422852	0.00048828125	96471.625	O	96472.625	O
376.8461914	0.00048828125	96472.625	O	96473.625	O
376.8500977	0.00048828125	96473.625	O	96474.625	O
376.8540039	0.00048828125	96474.625	O	96475.625	O
376.8583984	0.00048828125	96475.75	O	96476.75	O
376.8623047	0.00048828125	96476.75	O	96477.75	O
376.8662109	0.00048828125	96477.75	O	96478.75	O
387.3662109	0.00048828125	99165.75	M	99166.75	M
387.3701172	0.00048828125	99166.75	M	99167.75	M
387.3740234	0.00048828125	99167.75	M	99168.75	M
387.3779297	0.00048828125	99168.75	M	99169.75	M
387.3818359	0.00048828125	99169.75	M	99170.75	M
387.3857422	0.00048828125	99170.75	M	99171.75	M
387.3896484	0.00048828125	99171.75	M	99172.75	M
387.3935547	0.00048828125	99172.75	M	99173.75	M
387.3974609	0.00048828125	99173.75	M	99174.75	M
387.4013672	0.00048828125	99174.75	M	99175.75	M
387.4052734	0.00048828125	99175.75	M	99176.75	M
387.4091797	0.00048828125	99176.75	M	99177.75	M
387.4130859	0.00048828125	99177.75	M	99178.75	M
387.4169922	0.00048828125	99178.75	M	99179.75	M
387.4208984	0.00048828125	99179.75	M	99180.75	M
387.4248047	0.00048828125	99180.75	M	99181.75	M
387.4287109	0.00048828125	99181.75	M	99182.75	M
387.4326172	0.00048828125	99182.75	M	99183.75	M
387.4365234	0.00048828125	99183.75	M	99184.75	M
387.4404297	0.00048828125	99184.75	M	99185.75	M
387.4443359	0.00048828125	99185.75	M	99186.75	M
387.4482422	0.00048828125	99186.75	M	99187.75	M
387.4521484	0.00048828125	99187.75	M	99188.75	M
387.4560547	0.00048828125	99188.75	M	99189.75	M
387.4599609	0.00048828125	99189.75	M	99190.75	M
387.4638672	0.00048828125	99190.75	M	99191.75	M
387.4677734	0.00048828125	99191.75	M	99192.75	M
387.4716797	0.00048828125	99192.75	M	99193.75	M
387.4755859	0.00048828125	99193.75	M	99194.75	M
387.4794922	0.00048828125	99194.75	M	99195.75	M
387.4833984	0.00048828125	99195.75	M	99196.75	M
387.4873047	0.00048828125	99196.75	M	99197.75	M
387.4912109	0.00048828125	99197.75	M	99198.75	M
387.4951172	0.00048828125	99198.75	M	99199.75	M
387.4990234	0.00048828125	99199.75	M	99200.75	M
387.5029297	0.00048828125	99200.75	M	99201.75	M
387.5068359	0.00048828125	99201.75	M	99202.75	M
387.5107422	0.00048828125	99202.75	M	99203.75	M
387.5146484	0.00048828125	99203.75	M	99204.75	M
387.5185547	0.00048828125	99204.75	M	99205.75	M
387.5224609	0.00048828125	99205.75	M	99206.75	M
387.5263672	0.00048828125	99206.75	M	99207.75	M
387.5302734	0.00048828125	99207.75	M	99208.75	M
387.5341797	0.00048828125	99208.75	M	99209.75	M
387.5380859	0.00048828125	99209.75	M	99210.75	M
387.5419922	0.00048828125	99210.75	M	99211.75	M
387.5458984	0.00048828125	99211.75	M	99212.75	M
387.5498047	0.00048828125	99212.75	M	99213.75	M
387.5537109	0.00048828125	99213.75	M	99214.75	M
387.5576172	0.00048828125	99214.75	M	99215.75	M
387.5615234	0.00048828125	99215.75	M	99216.75	M
387.5654297	0.00048828125	99216.75	M	99217.75	M
387.5693359	0.00048828125	99217.75	M	99218.75	M
387.5732422	0.00048828125	99218.75	M	99219.75	M
387.5771484	0.00048828125	99219.75	M	99220.75	M
387.5810547	0.00048828125	99220.75	M	99221.75	M
387.5849609	0.00048828125	99221.75	M	99222.75	M
