onset	duration	sample	value	event_onset	event_type
0	0.001953125	0	Start second meditation audio	1	Start second meditation audio
5.10546875	0.001953125	1307	Right trigger released	1308	Right trigger released
5.140625	0.001953125	1316	Left trigger released	1317	Left trigger released
7.60546875	0.001953125	1947	Left trigger pressed	1948	Left trigger pressed
7.833984375	0.001953125	2005.5	Left trigger released	2006.5	Left trigger released
390.6445312	0.001953125	100005	M	100006	M
390.6484375	0.001953125	100006	M	100007	M
390.6523438	0.001953125	100007	M	100008	M
390.65625	0.001953125	100008	M	100009	M
390.6601562	0.001953125	100009	M	100010	M
390.6640625	0.001953125	100010	M	100011	M
390.6679688	0.001953125	100011	M	100012	M
390.671875	0.001953125	100012	M	100013	M
390.6757812	0.001953125	100013	M	100014	M
390.6796875	0.001953125	100014	M	100015	M
390.6835938	0.001953125	100015	M	100016	M
390.6875	0.001953125	100016	M	100017	M
390.6914062	0.001953125	100017	M	100018	M
390.6953125	0.001953125	100018	M	100019	M
390.6992188	0.001953125	100019	M	100020	M
390.7089844	0.001953125	100021.5	M	100022.5	M
390.7128906	0.001953125	100022.5	M	100023.5	M
390.7167969	0.001953125	100023.5	M	100024.5	M
390.7207031	0.001953125	100024.5	M	100025.5	M
390.7246094	0.001953125	100025.5	M	100026.5	M
390.7304688	0.001953125	100027	M	100028	M
390.734375	0.001953125	100028	M	100029	M
390.7382812	0.001953125	100029	M	100030	M
390.7421875	0.001953125	100030	M	100031	M
390.7480469	0.001953125	100031.5	M	100032.5	M
390.7519531	0.001953125	100032.5	M	100033.5	M
390.7558594	0.001953125	100033.5	M	100034.5	M
390.7597656	0.001953125	100034.5	M	100035.5	M
390.7636719	0.001953125	100035.5	M	100036.5	M
390.7675781	0.001953125	100036.5	M	100037.5	M
390.7734375	0.001953125	100038	M	100039	M
390.7773438	0.001953125	100039	M	100040	M
390.78125	0.001953125	100040	M	100041	M
390.7851562	0.001953125	100041	M	100042	M
390.7890625	0.001953125	100042	M	100043	M
390.796875	0.001953125	100044	M	100045	M
390.8007812	0.001953125	100045	M	100046	M
390.8046875	0.001953125	100046	M	100047	M
390.8085938	0.001953125	100047	M	100048	M
390.8125	0.001953125	100048	M	100049	M
390.8164062	0.001953125	100049	M	100050	M
390.8203125	0.001953125	100050	M	100051	M
390.8242188	0.001953125	100051	M	100052	M
390.828125	0.001953125	100052	M	100053	M
390.8320312	0.001953125	100053	M	100054	M
390.8359375	0.001953125	100054	M	100055	M
390.8417969	0.001953125	100055.5	M	100056.5	M
390.8457031	0.001953125	100056.5	M	100057.5	M
390.8496094	0.001953125	100057.5	M	100058.5	M
