onset	duration	sample	value	event_onset	event_type
0	0.001953125	0	Start second meditation audio	1	Start second meditation audio
2.314453125	0.001953125	592.5	Left trigger released	593.5	Left trigger released
2.328125	0.001953125	596	Right trigger released	597	Right trigger released
372.9707031	0.001953125	95480.5	M	95481.5	M
372.9746094	0.001953125	95481.5	M	95482.5	M
372.9785156	0.001953125	95482.5	M	95483.5	M
372.9863281	0.001953125	95484.5	M	95485.5	M
372.9902344	0.001953125	95485.5	M	95486.5	M
372.9941406	0.001953125	95486.5	M	95487.5	M
372.9980469	0.001953125	95487.5	M	95488.5	M
373.0019531	0.001953125	95488.5	M	95489.5	M
373.0058594	0.001953125	95489.5	M	95490.5	M
373.0097656	0.001953125	95490.5	M	95491.5	M
373.0136719	0.001953125	95491.5	M	95492.5	M
373.0195312	0.001953125	95493	M	95494	M
373.0234375	0.001953125	95494	M	95495	M
373.0273438	0.001953125	95495	M	95496	M
373.03125	0.001953125	95496	M	95497	M
373.0351562	0.001953125	95497	M	95498	M
373.0390625	0.001953125	95498	M	95499	M
373.0429688	0.001953125	95499	M	95500	M
373.046875	0.001953125	95500	M	95501	M
373.0507812	0.001953125	95501	M	95502	M
373.0546875	0.001953125	95502	M	95503	M
373.0585938	0.001953125	95503	M	95504	M
373.0644531	0.001953125	95504.5	M	95505.5	M
373.0683594	0.001953125	95505.5	M	95506.5	M
373.0722656	0.001953125	95506.5	M	95507.5	M
373.0761719	0.001953125	95507.5	M	95508.5	M
373.0800781	0.001953125	95508.5	M	95509.5	M
373.0859375	0.001953125	95510	M	95511	M
373.0898438	0.001953125	95511	M	95512	M
373.09375	0.001953125	95512	M	95513	M
373.0976562	0.001953125	95513	M	95514	M
373.1015625	0.001953125	95514	M	95515	M
373.1054688	0.001953125	95515	M	95516	M
373.109375	0.001953125	95516	M	95517	M
373.1132812	0.001953125	95517	M	95518	M
373.1171875	0.001953125	95518	M	95519	M
373.1210938	0.001953125	95519	M	95520	M
373.125	0.001953125	95520	M	95521	M
373.1347656	0.001953125	95522.5	M	95523.5	M
373.1386719	0.001953125	95523.5	M	95524.5	M
373.1425781	0.001953125	95524.5	M	95525.5	M
373.1464844	0.001953125	95525.5	M	95526.5	M
373.1503906	0.001953125	95526.5	M	95527.5	M
373.1542969	0.001953125	95527.5	M	95528.5	M
373.1582031	0.001953125	95528.5	M	95529.5	M
373.1621094	0.001953125	95529.5	M	95530.5	M
373.1660156	0.001953125	95530.5	M	95531.5	M
373.1699219	0.001953125	95531.5	M	95532.5	M
373.1738281	0.001953125	95532.5	M	95533.5	M
373.1796875	0.001953125	95534	M	95535	M
373.1835938	0.001953125	95535	M	95536	M
373.1875	0.001953125	95536	M	95537	M
373.1914062	0.001953125	95537	M	95538	M
373.1953125	0.001953125	95538	M	95539	M
373.2011719	0.001953125	95539.5	M	95540.5	M
373.2050781	0.001953125	95540.5	M	95541.5	M
373.2089844	0.001953125	95541.5	M	95542.5	M
373.2128906	0.001953125	95542.5	M	95543.5	M
373.2167969	0.001953125	95543.5	M	95544.5	M
373.2207031	0.001953125	95544.5	M	95545.5	M
373.2246094	0.001953125	95545.5	M	95546.5	M
373.2285156	0.001953125	95546.5	M	95547.5	M
373.2324219	0.001953125	95547.5	M	95548.5	M
373.2363281	0.001953125	95548.5	M	95549.5	M
373.2402344	0.001953125	95549.5	M	95550.5	M
373.2460938	0.001953125	95551	M	95552	M
373.25	0.001953125	95552	M	95553	M
373.2539062	0.001953125	95553	M	95554	M
373.2578125	0.001953125	95554	M	95555	M
373.2617188	0.001953125	95555	M	95556	M
373.2695312	0.001953125	95557	M	95558	M
373.2734375	0.001953125	95558	M	95559	M
373.2773438	0.001953125	95559	M	95560	M
373.28125	0.001953125	95560	M	95561	M
373.2851562	0.001953125	95561	M	95562	M
373.2890625	0.001953125	95562	M	95563	M
373.2929688	0.001953125	95563	M	95564	M
373.296875	0.001953125	95564	M	95565	M
373.3007812	0.001953125	95565	M	95566	M
373.3046875	0.001953125	95566	M	95567	M
373.3085938	0.001953125	95567	M	95568	M
373.3144531	0.001953125	95568.5	M	95569.5	M
373.3183594	0.001953125	95569.5	M	95570.5	M
373.3222656	0.001953125	95570.5	M	95571.5	M
373.3261719	0.001953125	95571.5	M	95572.5	M
373.3300781	0.001953125	95572.5	M	95573.5	M
373.3359375	0.001953125	95574	M	95575	M
