onset	duration	sample	value	event_onset	event_type
0	0.001953125	0	Start second meditation audio	1	Start second meditation audio
0.78125	0.001953125	200	Left trigger released	201	Left trigger released
0.79296875	0.001953125	203	Right trigger released	204	Right trigger released
324.2304688	0.001953125	83003	M	83004	M
324.234375	0.001953125	83004	M	83005	M
324.2382812	0.001953125	83005	M	83006	M
324.2421875	0.001953125	83006	M	83007	M
324.2460938	0.001953125	83007	M	83008	M
324.25	0.001953125	83008	M	83009	M
324.2539062	0.001953125	83009	M	83010	M
324.2578125	0.001953125	83010	M	83011	M
324.2617188	0.001953125	83011	M	83012	M
324.265625	0.001953125	83012	M	83013	M
324.2695312	0.001953125	83013	M	83014	M
324.2773438	0.001953125	83015	M	83016	M
324.28125	0.001953125	83016	M	83017	M
324.2851562	0.001953125	83017	M	83018	M
324.2890625	0.001953125	83018	M	83019	M
324.2988281	0.001953125	83020.5	M	83021.5	M
324.3027344	0.001953125	83021.5	M	83022.5	M
324.3066406	0.001953125	83022.5	M	83023.5	M
324.3105469	0.001953125	83023.5	M	83024.5	M
324.3144531	0.001953125	83024.5	M	83025.5	M
324.3183594	0.001953125	83025.5	M	83026.5	M
324.3222656	0.001953125	83026.5	M	83027.5	M
324.3261719	0.001953125	83027.5	M	83028.5	M
324.3300781	0.001953125	83028.5	M	83029.5	M
324.3339844	0.001953125	83029.5	M	83030.5	M
324.34375	0.001953125	83032	M	83033	M
324.3476562	0.001953125	83033	M	83034	M
324.3515625	0.001953125	83034	M	83035	M
324.3554688	0.001953125	83035	M	83036	M
324.3652344	0.001953125	83037.5	M	83038.5	M
324.3691406	0.001953125	83038.5	M	83039.5	M
324.3730469	0.001953125	83039.5	M	83040.5	M
324.3769531	0.001953125	83040.5	M	83041.5	M
324.3808594	0.001953125	83041.5	M	83042.5	M
324.3847656	0.001953125	83042.5	M	83043.5	M
324.390625	0.001953125	83044	M	83045	M
324.3945312	0.001953125	83045	M	83046	M
324.3984375	0.001953125	83046	M	83047	M
324.4023438	0.001953125	83047	M	83048	M
324.4082031	0.001953125	83048.5	M	83049.5	M
324.4121094	0.001953125	83049.5	M	83050.5	M
324.4160156	0.001953125	83050.5	M	83051.5	M
