onset	duration	sample	value	event_onset	event_type
0	0	0	ivan_talks_01	1	ivan_talks_01
12.99804688	n/a	3327.5	boundary	3328.5	boundary
13	0	3328	ivan_talks_02	3329	ivan_talks_02
31.99804688	n/a	8191.5	boundary	8192.5	boundary
32	0	8192	ivan_talks_03	8193	ivan_talks_03
51.99804688	n/a	13311.5	boundary	13312.5	boundary
52	0	13312	ivan_talks_04	13313	ivan_talks_04
63.99804688	n/a	16383.5	boundary	16384.5	boundary
64	0	16384	ivan_talks_05	16385	ivan_talks_05
73.99804688	n/a	18943.5	boundary	18944.5	boundary
74	0	18944	ivan_talks_06	18945	ivan_talks_06
