onset	duration	sample	value	event_onset	event_type
0	0	0	ivan_talks_01	1	ivan_talks_01
4.998046875	n/a	1279.5	boundary	1280.5	boundary
5	0	1280	ivan_talks_02	1281	ivan_talks_02
9.998046875	n/a	2559.5	boundary	2560.5	boundary
10	0	2560	ivan_talks_03	2561	ivan_talks_03
24.99804688	n/a	6399.5	boundary	6400.5	boundary
25	0	6400	ivan_talks_04	6401	ivan_talks_04
31.99804688	n/a	8191.5	boundary	8192.5	boundary
32	0	8192	ivan_talks_05	8193	ivan_talks_05
37.99804688	n/a	9727.5	boundary	9728.5	boundary
38	0	9728	ivan_talks_06	9729	ivan_talks_06
51.99804688	n/a	13311.5	boundary	13312.5	boundary
52	0	13312	ivan_talks_07	13313	ivan_talks_07
59.99804688	n/a	15359.5	boundary	15360.5	boundary
60	0	15360	ivan_talks_08	15361	ivan_talks_08
