onset	duration	sample	value	event_onset	event_type
0	0.001953125	0	Start second meditation audio	1	Start second meditation audio
0.9609375	0.001953125	246	Right trigger released	247	Right trigger released
0.998046875	0.001953125	255.5	Left trigger released	256.5	Left trigger released
135.5820312	0.001953125	34709	M	34710	M
135.5898438	0.001953125	34711	M	34712	M
135.59375	0.001953125	34712	M	34713	M
135.5976562	0.001953125	34713	M	34714	M
135.6015625	0.001953125	34714	M	34715	M
135.609375	0.001953125	34716	M	34717	M
135.6132812	0.001953125	34717	M	34718	M
135.6171875	0.001953125	34718	M	34719	M
135.6210938	0.001953125	34719	M	34720	M
135.625	0.001953125	34720	M	34721	M
135.6308594	0.001953125	34721.5	M	34722.5	M
135.6347656	0.001953125	34722.5	M	34723.5	M
135.6386719	0.001953125	34723.5	M	34724.5	M
135.6425781	0.001953125	34724.5	M	34725.5	M
135.6464844	0.001953125	34725.5	M	34726.5	M
135.6503906	0.001953125	34726.5	M	34727.5	M
135.6542969	0.001953125	34727.5	M	34728.5	M
135.6582031	0.001953125	34728.5	M	34729.5	M
135.6621094	0.001953125	34729.5	M	34730.5	M
135.6660156	0.001953125	34730.5	M	34731.5	M
135.6699219	0.001953125	34731.5	M	34732.5	M
135.6757812	0.001953125	34733	M	34734	M
135.6796875	0.001953125	34734	M	34735	M
135.6835938	0.001953125	34735	M	34736	M
135.6875	0.001953125	34736	M	34737	M
135.6914062	0.001953125	34737	M	34738	M
135.6972656	0.001953125	34738.5	M	34739.5	M
135.7011719	0.001953125	34739.5	M	34740.5	M
135.7050781	0.001953125	34740.5	M	34741.5	M
135.7089844	0.001953125	34741.5	M	34742.5	M
135.7148438	0.001953125	34743	M	34744	M
135.71875	0.001953125	34744	M	34745	M
135.7226562	0.001953125	34745	M	34746	M
135.7265625	0.001953125	34746	M	34747	M
135.7304688	0.001953125	34747	M	34748	M
135.734375	0.001953125	34748	M	34749	M
135.7382812	0.001953125	34749	M	34750	M
135.7421875	0.001953125	34750	M	34751	M
135.7460938	0.001953125	34751	M	34752	M
135.75	0.001953125	34752	M	34753	M
135.7539062	0.001953125	34753	M	34754	M
135.7636719	0.001953125	34755.5	M	34756.5	M
135.7675781	0.001953125	34756.5	M	34757.5	M
135.7714844	0.001953125	34757.5	M	34758.5	M
135.7753906	0.001953125	34758.5	M	34759.5	M
135.78125	0.001953125	34760	M	34761	M
135.7851562	0.001953125	34761	M	34762	M
135.7890625	0.001953125	34762	M	34763	M
135.7929688	0.001953125	34763	M	34764	M
135.796875	0.001953125	34764	M	34765	M
135.8007812	0.001953125	34765	M	34766	M
135.8046875	0.001953125	34766	M	34767	M
382.5546875	0.001953125	97934	M	97935	M
382.5585938	0.001953125	97935	M	97936	M
382.5625	0.001953125	97936	M	97937	M
382.5664062	0.001953125	97937	M	97938	M
382.5742188	0.001953125	97939	M	97940	M
382.578125	0.001953125	97940	M	97941	M
382.5820312	0.001953125	97941	M	97942	M
382.5859375	0.001953125	97942	M	97943	M
382.5898438	0.001953125	97943	M	97944	M
382.59375	0.001953125	97944	M	97945	M
382.5976562	0.001953125	97945	M	97946	M
382.6015625	0.001953125	97946	M	97947	M
382.6054688	0.001953125	97947	M	97948	M
382.609375	0.001953125	97948	M	97949	M
382.6132812	0.001953125	97949	M	97950	M
382.6210938	0.001953125	97951	M	97952	M
382.625	0.001953125	97952	M	97953	M
382.6289062	0.001953125	97953	M	97954	M
382.6328125	0.001953125	97954	M	97955	M
382.640625	0.001953125	97956	M	97957	M
382.6445312	0.001953125	97957	M	97958	M
382.6484375	0.001953125	97958	M	97959	M
382.6523438	0.001953125	97959	M	97960	M
382.65625	0.001953125	97960	M	97961	M
382.6621094	0.001953125	97961.5	M	97962.5	M
382.6660156	0.001953125	97962.5	M	97963.5	M
382.6699219	0.001953125	97963.5	M	97964.5	M
382.6738281	0.001953125	97964.5	M	97965.5	M
382.6777344	0.001953125	97965.5	M	97966.5	M
382.6816406	0.001953125	97966.5	M	97967.5	M
382.6855469	0.001953125	97967.5	M	97968.5	M
382.6894531	0.001953125	97968.5	M	97969.5	M
382.6933594	0.001953125	97969.5	M	97970.5	M
382.6972656	0.001953125	97970.5	M	97971.5	M
382.7070312	0.001953125	97973	M	97974	M
382.7109375	0.001953125	97974	M	97975	M
382.7148438	0.001953125	97975	M	97976	M
382.71875	0.001953125	97976	M	97977	M
382.7226562	0.001953125	97977	M	97978	M
382.7285156	0.001953125	97978.5	M	97979.5	M
382.7324219	0.001953125	97979.5	M	97980.5	M
382.7363281	0.001953125	97980.5	M	97981.5	M
382.7402344	0.001953125	97981.5	M	97982.5	M
382.7441406	0.001953125	97982.5	M	97983.5	M
382.7480469	0.001953125	97983.5	M	97984.5	M
382.7539062	0.001953125	97985	M	97986	M
